"Date","Maximum Temperature degrees (F)","Minimum Temperature degrees (F)","Precipitation (inches)","Snow (inches)","Snow Depth (inches)"
"1940-01-01","7.0","-3.0","0.00","0.00","3.00"
"1940-01-02","9.0","-3.0","T","T","3.00"
"1940-01-03","10.0","-5.0","0.00","0.00","3.00"
"1940-01-04","-3.0","-8.0","T","T","3.00"
"1940-01-05","10.0","-7.0","0.00","0.00","3.00"
"1940-01-06","16.0","-5.0","0.00","0.00","3.00"
"1940-01-07","17.0","0.0","T","T","2.00"
"1940-01-08","21.0","2.0","T","0.20","3.00"
"1940-01-09","20.0","15.0","0.15","2.70","5.00"
"1940-01-10","27.0","15.0","0.01","T","5.00"
"1940-01-11","29.0","6.0","0.04","0.40","5.00"
"1940-01-12","19.0","-3.0","0.00","0.00","5.00"
"1940-01-13","22.0","15.0","0.02","0.10","5.00"
"1940-01-14","21.0","9.0","T","0.10","5.00"
"1940-01-15","9.0","-5.0","0.01","0.00","5.00"
"1940-01-16","-2.0","-8.0","0.07","0.60","6.00"
"1940-01-17","-7.0","-21.0","T","0.20","6.00"
"1940-01-18","2.0","-22.0","0.02","0.10","6.00"
"1940-01-19","15.0","1.0","0.02","0.30","6.00"
"1940-01-20","9.0","2.0","T","T","6.00"
"1940-01-21","15.0","2.0","0.00","0.00","6.00"
"1940-01-22","19.0","-3.0","T","T","5.00"
"1940-01-23","14.0","-1.0","0.02","0.10","6.00"
"1940-01-24","5.0","-12.0","0.01","0.20","5.00"
"1940-01-25","5.0","-12.0","T","T","5.00"
"1940-01-26","9.0","-3.0","T","T","5.00"
"1940-01-27","20.0","-10.0","0.00","0.00","5.00"
"1940-01-28","20.0","1.0","0.00","0.00","5.00"
"1940-01-29","19.0","7.0","0.00","0.00","5.00"
"1940-01-30","28.0","0.0","T","T","5.00"
"1940-01-31","35.0","18.0","T","0.00","4.00"
"1940-02-01","27.0","15.0","T","T","3.00"
"1940-02-02","33.0","5.0","0.00","T","3.00"
"1940-02-03","29.0","5.0","0.06","0.20","3.00"
"1940-02-04","30.0","23.0","T","0.60","4.00"
"1940-02-05","29.0","24.0","0.00","0.00","3.00"
"1940-02-06","26.0","13.0","T","T","3.00"
"1940-02-07","22.0","0.0","0.00","T","3.00"
"1940-02-08","19.0","3.0","0.00","0.00","3.00"
"1940-02-09","23.0","-10.0","0.00","0.00","3.00"
